component_id,category,brand,model,year,price,value_metric,metric_label
asus dual oc | GeForce RTX 3060 Ti,GPU,asus,asus dual oc,2025,840.0,105.0,$/GB VRAM
asus dual oc | GeForce RTX 3070,GPU,asus,asus dual oc,2023,482.58,60.3225,$/GB VRAM
asus dual oc | GeForce RTX 3070,GPU,asus,asus dual oc,2025,695.0,86.875,$/GB VRAM
asus dual oc | GeForce RTX 4060,GPU,asus,asus dual oc,2023,309.99,38.74875,$/GB VRAM
asus dual oc | GeForce RTX 4060,GPU,asus,asus dual oc,2025,414.99,51.87375,$/GB VRAM
asus dual oc | GeForce RTX 4060 Ti,GPU,asus,asus dual oc,2023,399.99,49.99875,$/GB VRAM
asus dual oc | GeForce RTX 4060 Ti,GPU,asus,asus dual oc,2025,563.42,70.4275,$/GB VRAM
asus dual oc | GeForce RTX 4070,GPU,asus,asus dual oc,2023,589.99,49.16583333333333,$/GB VRAM
asus dual oc | GeForce RTX 4070,GPU,asus,asus dual oc,2025,757.49,63.12416666666667,$/GB VRAM
asus dual oc | GeForce RTX 4070 SUPER,GPU,asus,asus dual oc,2023,614.5,51.208333333333336,$/GB VRAM
asus dual oc | GeForce RTX 4070 SUPER,GPU,asus,asus dual oc,2025,899.99,74.99916666666667,$/GB VRAM
asus dual oc | GeForce RTX 4070 Ti SUPER,GPU,asus,asus dual oc,2023,799.99,49.999375,$/GB VRAM
asus dual oc | GeForce RTX 5050,GPU,asus,asus dual oc,2025,249.99,31.24875,$/GB VRAM
asus dual oc | GeForce RTX 5060,GPU,asus,asus dual oc,2025,299.99,37.49875,$/GB VRAM
asus dual oc | GeForce RTX 5060 Ti,GPU,asus,asus dual oc,2025,449.99,28.124375,$/GB VRAM
asus dual oc | GeForce RTX 5070,GPU,asus,asus dual oc,2025,784.35,65.3625,$/GB VRAM
asus dual oc | Radeon RX 6500 XT,GPU,asus,asus dual oc,2023,189.0,47.25,$/GB VRAM
asus dual oc | Radeon RX 6600 XT,GPU,asus,asus dual oc,2023,440.45,55.05625,$/GB VRAM
asus dual oc | Radeon RX 6600 XT,GPU,asus,asus dual oc,2025,549.0,68.625,$/GB VRAM
asus dual oc | Radeon RX 6750 XT,GPU,asus,asus dual oc,2023,594.32,49.52666666666667,$/GB VRAM
asus dual oc | Radeon RX 6750 XT,GPU,asus,asus dual oc,2025,970.0,80.83333333333333,$/GB VRAM
asus dual oc | Radeon RX 7600,GPU,asus,asus dual oc,2023,279.99,34.99875,$/GB VRAM
asus dual oc | Radeon RX 7600 XT,GPU,asus,asus dual oc,2023,339.99,21.249375,$/GB VRAM
asus dual oc | Radeon RX 7700 XT,GPU,asus,asus dual oc,2023,439.99,36.66583333333333,$/GB VRAM
asus dual oc | Radeon RX 7700 XT,GPU,asus,asus dual oc,2025,599.0,49.916666666666664,$/GB VRAM
asus dual oc | Radeon RX 7800 XT,GPU,asus,asus dual oc,2023,499.99,31.249375,$/GB VRAM
asus dual oc | Radeon RX 7800 XT,GPU,asus,asus dual oc,2025,699.0,43.6875,$/GB VRAM
asus dual oc | Radeon RX 7900 GRE,GPU,asus,asus dual oc,2023,569.99,35.624375,$/GB VRAM
asus dual v2 | Radeon RX 6600,GPU,asus,asus dual v2,2023,224.98,28.1225,$/GB VRAM
asus dual v2 | Radeon RX 6600,GPU,asus,asus dual v2,2025,435.0,54.375,$/GB VRAM
asus dual | GeForce GTX 1060 3GB,GPU,asus,asus dual,2023,349.0,116.33333333333333,$/GB VRAM
asus dual | GeForce GTX 1060 3GB,GPU,asus,asus dual,2025,345.0,115.0,$/GB VRAM
asus dual | GeForce GTX 1060 6GB,GPU,asus,asus dual,2023,512.43,85.40499999999999,$/GB VRAM
asus dual | GeForce GTX 1060 6GB,GPU,asus,asus dual,2025,385.0,64.16666666666667,$/GB VRAM
asus dual | GeForce RTX 2060,GPU,asus,asus dual,2023,700.0,116.66666666666667,$/GB VRAM
asus dual | GeForce RTX 2060,GPU,asus,asus dual,2025,700.0,116.66666666666667,$/GB VRAM
asus dual | GeForce RTX 4060 Ti,GPU,asus,asus dual,2023,399.99,49.99875,$/GB VRAM
asus dual | GeForce RTX 4070,GPU,asus,asus dual,2023,636.21,53.017500000000005,$/GB VRAM
asus dual | GeForce RTX 4070,GPU,asus,asus dual,2025,1048.0,87.33333333333333,$/GB VRAM
asus dual | GeForce RTX 4070 SUPER,GPU,asus,asus dual,2023,609.99,50.8325,$/GB VRAM
asus dual | GeForce RTX 4070 SUPER,GPU,asus,asus dual,2025,1295.0,107.91666666666667,$/GB VRAM
asus dual | GeForce RTX 5050,GPU,asus,asus dual,2025,249.99,31.24875,$/GB VRAM
asus dual | Radeon RX 6600,GPU,asus,asus dual,2023,279.0,34.875,$/GB VRAM
asus dual | Radeon RX 6600,GPU,asus,asus dual,2025,530.96,66.37,$/GB VRAM
asus dual | Radeon RX 6650 XT,GPU,asus,asus dual,2023,331.1,41.3875,$/GB VRAM
asus dual | Radeon RX 6700 XT,GPU,asus,asus dual,2023,614.48,51.20666666666667,$/GB VRAM
asus dual | Radeon RX 9060 XT,GPU,asus,asus dual,2025,339.99,42.49875,$/GB VRAM
asus eah5550 di 1gd3 lp | Radeon HD 5550,GPU,asus,asus eah5550 di 1gd3 lp,2025,90.17,90.17,$/GB VRAM
asus eah5850 directcu top 2dis 1gd5 | Radeon HD 5850,GPU,asus,asus eah5850 directcu top 2dis 1gd5,2025,252.4,252.4,$/GB VRAM
asus eah6450 silent di 512md3 lp | Radeon HD 6450,GPU,asus,asus eah6450 silent di 512md3 lp,2023,112.96,225.92,$/GB VRAM
asus eah6450 silent di 512md3 lp | Radeon HD 6450,GPU,asus,asus eah6450 silent di 512md3 lp,2025,82.96,165.92,$/GB VRAM
asus eah6870 2di2s 1gd5 | Radeon HD 6870,GPU,asus,asus eah6870 2di2s 1gd5,2025,267.73,267.73,$/GB VRAM
asus engts250 di 512md3 ww | GeForce GTS 250,GPU,asus,asus engts250 di 512md3 ww,2025,118.11,236.22,$/GB VRAM
asus engtx460 2di 768md5 | GeForce GTX 460,GPU,asus,asus engtx460 2di 768md5,2025,224.95,299.93333333333334,$/GB VRAM
asus engtx570 dcii 2dis 1280md5 | GeForce GTX 570,GPU,asus,asus engtx570 dcii 2dis 1280md5,2025,398.0,318.4,$/GB VRAM
asus evo | GeForce GT 730,GPU,asus,asus evo,2023,73.91,36.955,$/GB VRAM
asus founders edition | GeForce GTX 1080,GPU,asus,asus founders edition,2023,559.0,69.875,$/GB VRAM
asus founders edition | GeForce GTX 1080,GPU,asus,asus founders edition,2025,498.0,62.25,$/GB VRAM
